zip,borough,n_rentstab_buildings,pct_burden_30_plus,pct_burden_50_plus,renter_total,rentstab_density
11216,Brooklyn,802,42.9,21.7,21352,37.56088422630199
11217,Brooklyn,335,40.8,18.8,14671,22.834162633767296
11218,Brooklyn,339,51.3,29.5,15656,21.653040367910066
11219,Brooklyn,418,60.6,39.2,18374,22.74953738978992
11220,Brooklyn,830,55.8,32.9,20836,39.83490113265502
11221,Brooklyn,928,51.4,29.1,28796,32.22669815252119
11222,Brooklyn,949,41.5,18.5,17452,54.37772175108869
11223,Brooklyn,205,59.8,37.4,16930,12.108682811577083
11224,Brooklyn,69,57.6,31.3,14886,4.635227730753728
11225,Brooklyn,481,45.6,27.4,20085,23.948220064724918
11226,Brooklyn,909,49.5,26.6,32796,27.716794731064766
11228,Brooklyn,77,55.6,33.3,6633,11.608623548922056
11229,Brooklyn,231,53.0,31.2,16211,14.249583616063168
11230,Brooklyn,404,57.2,32.1,22864,17.669699090272918
11231,Brooklyn,217,33.0,14.0,11665,18.602657522503215
11232,Brooklyn,257,48.1,26.2,6825,37.65567765567766
11233,Brooklyn,670,53.7,29.5,25133,26.65817849043091
11234,Brooklyn,32,53.7,28.5,9438,3.3905488450942993
11235,Brooklyn,253,64.3,36.9,22727,11.132133585603027
11236,Brooklyn,45,53.0,30.0,15014,2.9972026108964966
11237,Brooklyn,1129,56.9,29.3,16011,70.51402161014303
11238,Brooklyn,646,38.6,19.1,20189,31.99762246768042
11239,Brooklyn,43,54.1,23.0,7487,5.743288366501937
11249,Brooklyn,133,37.9,18.5,15001,8.866075594960336
11354,Queens,179,64.2,35.5,12584,14.22441195168468
11355,Queens,249,65.0,36.4,20690,12.034799420009666
11356,Queens,28,58.7,39.6,4101,6.827603023652768
11357,Queens,42,56.2,38.4,3577,11.741682974559687
11358,Queens,139,57.4,36.1,5594,24.84805148373257
11360,Queens,8,51.3,27.5,2120,3.773584905660377
11361,Queens,60,48.2,26.4,4614,13.003901170351106
11362,Queens,5,40.9,15.1,1800,2.7777777777777777
11363,Queens,7,67.9,35.8,769,9.102730819245773
11364,Queens,27,58.3,36.2,3993,6.7618332081142
11365,Queens,48,50.4,23.3,8779,5.467593119945324
11366,Queens,14,36.5,13.5,1294,10.819165378670787
11367,Queens,70,55.2,29.6,7161,9.775171065493646
11368,Queens,790,55.9,30.5,23144,34.134116833736606
11369,Queens,46,58.6,25.6,5442,8.452774715178244
11370,Queens,43,55.5,30.0,5050,8.514851485148515
11372,Queens,325,53.0,32.0,16088,20.201392342118346
11373,Queens,487,59.4,31.5,23884,20.39021939373639
11374,Queens,138,53.0,29.0,11417,12.087238328807919
11375,Queens,209,46.8,25.9,16855,12.399881340848413
11377,Queens,601,53.0,23.9,23705,25.353300991352036
11378,Queens,48,55.8,29.2,5753,8.343472970624022
11379,Queens,47,51.7,30.5,5626,8.354070387486669
11385,Queens,1273,47.1,22.2,26193,48.600771198411785
11411,Queens,4,60.6,33.1,1016,3.937007874015748
11412,Queens,15,54.5,28.7,3422,4.383401519579193
11413,Queens,9,51.4,26.9,3693,2.4370430544272947
11414,Queens,10,57.3,35.6,3056,3.2722513089005236
11415,Queens,93,54.3,32.9,5043,18.441403926234383
11416,Queens,40,60.8,35.3,3864,10.351966873706004
11417,Queens,32,52.7,32.2,3968,8.064516129032258
11418,Queens,98,52.5,31.6,6031,16.2493782125684
11419,Queens,48,61.5,33.8,5084,9.44138473642801
11420,Queens,7,55.6,31.5,3909,1.7907393195190586
11421,Queens,37,53.9,31.7,5474,6.759225429302155
11422,Queens,2,54.2,26.7,3330,0.6006006006006006
11423,Queens,44,60.4,35.8,4262,10.323791647114032
11426,Queens,3,52.8,18.1,1905,1.574803149606299
11427,Queens,23,51.5,26.7,3076,7.477243172951885
11428,Queens,15,69.4,48.8,1580,9.493670886075948
11429,Queens,5,57.7,27.9,2220,2.252252252252252
11432,Queens,223,56.9,34.4,13346,16.709126329986514
11433,Queens,55,61.6,29.8,5898,9.325194981349611
11434,Queens,16,50.2,27.8,11999,1.3334444537044754
11435,Queens,167,56.2,27.4,12853,12.993075546565004
11436,Queens,1,61.2,42.6,2294,0.4359197907585004
11691,Queens,156,55.7,29.8,16665,9.36093609360936
11692,Queens,17,62.5,34.6,5400,3.148148148148148
11693,Queens,47,52.2,34.2,2847,16.50860554970144
11694,Queens,30,42.3,22.3,3963,7.57002271006813
